run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T025326Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4485,53.0189
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002500,stage_a,checkpoint-002500,greedy,32.4301,55.5306
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T180127Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4032,53.2763
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003500,stage_a,checkpoint-003500,greedy,32.3473,55.4758
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2240_bf16_confirm_best7,train_pairs.rows2240.merged.jsonl,2240,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.3424,52.9706
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.3319,53.7752
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.3108,54.1297
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.3030,55.4039
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.2663,53.0232
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.2489,53.8952
